releaseYear,genre,mean_rating,numVotes,unique_titles_count
1957,Adventure,8.1,242831,1
1957,Crime,8.566666666666668,1095062,3
1957,Drama,8.25,2086486,12
1957,Fantasy,8.1,209412,1
1957,Film-Noir,8.0,38217,1
1957,Music,8.2,18432,1
1957,Mystery,8.350000000000001,163515,2
1957,Romance,8.2,142301,2
1957,War,8.266666666666667,491061,3
1958,Adventure,8.0,44168,1
1958,Comedy,7.9,25649,2
1958,Crime,7.900000000000001,155405,3
1958,Drama,7.9142857142857155,297542,7
1958,Film-Noir,7.9,112842,1
1958,History,7.9,18490,1
1958,Mystery,8.2,446400,1
1958,Romance,8.0,482645,3
1958,Thriller,8.05,476722,2
1958,Western,7.9,22837,1
1959,Adventure,8.2,625646,2
1959,Comedy,8.2,296063,1
1959,Crime,8.0,131703,1
1959,Drama,8.3125,973558,8
1959,Fantasy,9.0,100954,1
1959,History,8.5,10250,1
1959,Horror,9.0,100954,1
1959,Music,8.2,296063,1
1959,Mystery,8.15,436828,2
1959,Romance,8.2,307924,2
1959,War,8.35,22111,2
1959,Western,8.0,71220,1
1960,Adventure,7.9,148350,1
1960,Animation,8.6,37029,1
1960,Biography,8.0,182715,2
1960,Comedy,8.325,347435,4
1960,Crime,8.233333333333333,61222,3
1960,Drama,8.166666666666666,1324402,9
1960,Family,8.4,18112,1
1960,History,8.1,34365,1
1960,Horror,8.5,755289,1
1960,Mystery,8.5,755289,1
1960,Romance,8.3,209537,1
1960,Sport,8.2,24289,1
1960,Thriller,8.25,36933,2
1961,Action,8.2,138275,1
1961,Comedy,8.15,27675,2
1961,Drama,8.0125,426233,8
1961,Family,8.4,12582,1
1961,Romance,7.9,15093,1
1961,Sport,7.9,89218,1
1961,Thriller,8.2,138275,1
1961,War,8.3,92207,1
1962,Action,8.0,42914,1
1962,Adventure,8.3,330228,1
1962,Biography,8.2,351749,2
1962,Comedy,8.2,13651,1
1962,Crime,8.3,344120,1
1962,Drama,8.125,1157377,12
1962,Fantasy,8.0,37063,1
1962,Horror,8.0,65147,1
1962,Mystery,8.6,80648,1
1962,Thriller,7.966666666666666,190798,3
1962,War,8.0,41877,1
1962,Western,8.1,86049,1
1963,Adventure,8.3,310578,2
1963,Crime,8.4,61017,1
1963,Drama,8.15,561974,6
1963,Family,8.4,40766,1
1963,History,7.9,32433,1
1963,Mystery,8.4,61017,1
1963,Thriller,8.2,269812,1
1964,Comedy,8.15,562413,2
1964,Drama,8.049999999999999,352752,6
1964,Family,8.0,22962,1
1964,Fantasy,7.9,21550,1
1964,Horror,7.933333333333334,68605,3
1964,Thriller,8.1,74601,3
1964,War,8.3,539451,1
1964,Western,7.9,245050,1
1965,Action,8.2,14569,1
1965,Adventure,8.2,14569,1
1965,Biography,8.1,277662,1
1965,Comedy,8.3,30311,2
1965,Crime,8.4,15742,1
1965,Drama,8.183333333333334,700490,6
1965,Family,8.1,277662,1
1965,Romance,7.9,84775,1
1965,War,8.05,94954,2
1965,Western,8.2,289738,1
1966,Action,8.15,109876,2
1966,Adventure,8.366666666666667,976766,3
1966,Biography,8.0,59085,1
1966,Comedy,7.9,21380,1
1966,Drama,8.1375,1328941,8
1966,History,8.0,59085,1
1966,Sci-Fi,7.9,11284,1
1966,Thriller,7.95,147844,2
1966,War,8.0,92804,2
1966,Western,8.8,858172,1
1967,Adventure,8.3,14393,1
1967,Biography,7.9,30798,1
1967,Comedy,8.15,311590,2
1967,Crime,7.966666666666666,288096,3
1967,Documentary,7.9,10692,1
1967,Drama,8.1125,718198,8
1967,Music,7.9,10692,1
1967,Mystery,8.2,103551,2
1967,Romance,8.0,297197,1
1967,Sci-Fi,8.5,15745,1
1967,Thriller,7.95,150553,2
1968,Adventure,8.15,961284,2
1968,Animation,8.5,10395,1
1968,Comedy,8.5,10395,1
1968,Drama,8.166666666666666,634632,3
1968,Family,8.7,10054,1
1968,Fantasy,8.7,10054,1
1968,Horror,8.0,249083,1
1968,Music,8.7,10054,1
1968,Sci-Fi,8.15,961284,2
1968,Western,8.5,369789,1
1969,Action,7.9,93214,1
1969,Adventure,8.066666666666666,126769,3
1969,Animation,8.1,16339,1
1969,Biography,8.0,232676,1
1969,Comedy,8.275,128223,4
1969,Crime,8.075,294688,4
1969,Drama,8.0,422945,6
1969,Family,7.9,24435,1
1969,Thriller,8.1,32826,1
1969,War,8.1,27824,1
1970,Biography,7.9,111657,1
1970,Comedy,8.3,10790,1
1970,Crime,7.95,44771,2
1970,Documentary,8.1,19058,1
1970,Drama,7.925000000000001,193462,4
1970,History,8.1,19058,1
1970,Music,8.1,19058,1
1970,Thriller,7.9,30385,1
1970,War,7.9,111657,1
1971,Comedy,8.200000000000001,117714,3
1971,Crime,8.266666666666667,972717,3
1971,Drama,8.142857142857142,304844,7
1971,Family,8.0,50200,1
1971,Musical,8.05,86693,2
1971,Mystery,8.3,45223,1
1971,Romance,7.95,139460,2
1971,Sci-Fi,8.2,913841,1
1972,Comedy,8.6,82209,2
1972,Crime,9.2,2134065,1
1972,Documentary,8.6,10950,1
1972,Drama,8.375,2341943,4
1972,Family,8.7,15155,1
1972,Music,8.6,10950,1
1972,Mystery,7.9,153759,2
1972,Sci-Fi,7.9,102201,1
1972,Thriller,7.9,51558,1
1972,War,8.5,67054,1
1973,Adventure,8.2,19555,1
1973,Biography,8.0,142575,1
1973,Comedy,8.125,391768,4
1973,Crime,8.1,489140,3
1973,Documentary,9.2,33200,1
1973,Drama,8.233333333333333,543199,6
1973,History,9.2,33200,1
1973,Horror,8.1,479520,1
1973,Romance,8.0,25648,1
1973,Sci-Fi,8.2,19555,1
1973,War,9.2,33200,1
1974,Comedy,8.15,188243,2
1974,Crime,8.6,1447807,2
1974,Drama,8.26,1870542,5
1974,Mystery,8.149999999999999,378061,2
1974,Romance,8.0,56587,2
1974,Thriller,8.1,366148,1
1975,Action,8.05,73197,2
1975,Adventure,8.139999999999999,1577172,5
1975,Animation,8.4,14811,1
1975,Biography,8.033333333333333,373223,3
1975,Comedy,8.4625,911333,8
1975,Crime,8.0,295113,2
1975,Drama,8.1625,2412031,8
1975,Family,8.4,14811,1
1975,Fantasy,8.2,589431,1
1975,Horror,8.1,697434,1
1975,Music,8.0,55769,1
1975,Romance,8.3,13609,1
1975,War,8.1,194344,1
1976,Biography,8.6,85176,2
1976,Comedy,8.620000000000001,110603,5
1976,Crime,8.2,982705,1
1976,Drama,8.25,2053590,7
1976,Family,8.4,27111,1
1976,History,8.566666666666668,264163,5
1976,Musical,8.4,27111,1
1976,Sport,8.1,662361,1
1976,Thriller,7.9,131521,1
1977,Action,8.6,1516052,1
1977,Adventure,8.6,1516052,1
1977,Biography,8.45,46064,2
1977,Comedy,8.433333333333332,367470,6
1977,Drama,8.316666666666666,103431,6
1977,Fantasy,8.6,1516052,1
1977,History,8.533333333333333,65487,3
1977,Romance,8.200000000000001,313567,3
1977,War,8.2,11241,1
1978,Biography,8.1,21264,1
1978,Comedy,8.433333333333332,42542,3
1978,Documentary,8.25,46553,2
1978,Drama,8.375,447378,4
1978,Music,8.1,61398,2
1978,Talk-Show,8.4,25289,1
1978,War,8.1,376679,1
1979,Comedy,8.133333333333333,531561,3
1979,Drama,8.175,987267,4
1979,Horror,8.5,1019753,1
1979,Mystery,8.4,754820,2
1979,Romance,8.5,21465,1
1979,Sci-Fi,8.25,1171506,2
1979,Thriller,8.4,10207,1
1979,War,8.4,744613,1
1980,Action,8.7,1448850,1
1980,Adventure,8.35,1706081,4
1980,Biography,8.166666666666666,689052,3
1980,Comedy,8.34,284902,5
1980,Crime,7.9,232656,2
1980,Documentary,9.3,48124,1
1980,Drama,8.166666666666666,1959692,9
1980,Fantasy,8.7,1448850,1
1980,History,8.066666666666666,75367,3
1980,Horror,8.4,1171125,1
1980,Romance,8.0,15086,1
1980,Sport,8.1,396902,1
1980,War,7.9,39774,1
1981,Action,8.4,1077704,1
1981,Adventure,8.2,1089813,2
1981,Comedy,8.5,73105,2
1981,Crime,8.2,11279,1
1981,Drama,8.3,291292,2
1981,Mystery,8.2,11279,1
1981,Sci-Fi,8.0,12109,1
1981,War,8.4,280013,1
1982,Action,8.1,856178,1
1982,Adventure,7.9,495833,2
1982,Biography,8.0,244295,1
1982,Comedy,8.257142857142856,205149,7
1982,Crime,8.4,22303,1
1982,Documentary,8.2,43393,1
1982,Drama,8.088888888888889,1409008,9
1982,Family,7.9,454864,1
1982,Fantasy,8.0,87987,1
1982,History,8.2,272393,2
1982,Horror,8.2,500944,1
1982,Music,8.033333333333333,172349,3
1982,Mystery,8.2,500944,1
1982,Romance,8.0,11599,1
1982,Sci-Fi,8.066666666666666,1811986,3
1982,War,8.4,28098,1
1983,Action,8.3,1169489,1
1983,Adventure,8.3,1169489,1
1983,Comedy,8.100000000000001,190382,2
1983,Crime,8.3,985300,2
1983,Drama,8.166666666666666,1017137,3
1983,Family,7.9,175223,1
1983,Fantasy,8.3,1169489,1
1984,Action,7.966666666666666,1464514,3
1984,Adventure,8.033333333333333,1183994,3
1984,Animation,8.0,215866,2
1984,Biography,8.4,450128,1
1984,Comedy,8.166666666666666,636668,3
1984,Crime,8.5,422521,2
1984,Documentary,8.7,22780,1
1984,Drama,8.459999999999999,1017902,5
1984,Fantasy,7.8,471744,1
1984,Music,8.333333333333334,624802,3
1984,Mystery,8.7,26119,1
1984,Sci-Fi,8.05,1159352,2
1985,Action,8.2,144690,1
1985,Adventure,8.5,1383148,1
1985,Animation,8.3,18162,1
1985,Biography,7.9,15518,1
1985,Comedy,8.216666666666667,1952208,6
1985,Documentary,8.7,11159,1
1985,Drama,8.266666666666667,871936,9
1985,Family,8.4,41884,2
1985,History,8.399999999999999,23703,2
1985,Romance,8.1,12544,1
1985,Sci-Fi,8.5,1383148,1
1985,Thriller,8.3,113032,1
1985,War,8.5,305156,4
1986,Action,8.433333333333334,895738,3
1986,Adventure,8.283333333333333,1564683,6
1986,Animation,8.3,287121,4
1986,Comedy,8.4,543860,4
1986,Crime,8.7,14644,1
1986,Drama,8.15,1025316,6
1986,Family,8.0,191533,1
1986,Horror,8.4,811355,1
1986,Mystery,8.7,14644,1
1986,War,8.1,457577,1
1987,Action,8.166666666666666,659799,3
1987,Adventure,8.3,1154339,5
1987,Animation,8.0,36533,1
1987,Comedy,8.28,655404,5
1987,Crime,8.399999999999999,41731,2
1987,Drama,8.35,1199244,10
1987,Family,8.375,526227,4
1987,Fantasy,7.9,81134,1
1987,Horror,7.8,479093,1
1987,Music,8.4,12370,1
1987,Mystery,8.2,15247,1
1987,Romance,8.15,91801,2
1987,War,8.1,862105,2
1988,Action,8.55,1018263,2
1988,Adventure,8.9,25503,1
1988,Animation,8.200000000000001,978608,3
1988,Comedy,8.333333333333334,562838,6
1988,Crime,7.975,94807,4
1988,Documentary,7.9,27037,1
1988,Drama,8.209090909090909,1612002,11
1988,Family,8.25,452229,2
1988,Fantasy,8.0,216640,1
1988,Romance,8.3,329998,2
1988,Sci-Fi,8.5,65490,2
1988,Thriller,8.2,992760,1
1988,War,8.5,352187,1
1989,Action,8.4,975696,3
1989,Adventure,8.34,1603572,5
1989,Animation,8.7,551215,2
1989,Comedy,8.314285714285715,2226654,7
1989,Crime,8.3,84478,2
1989,Drama,8.416666666666666,866512,6
1989,Fantasy,8.0,28516,1
1989,Mystery,8.6,55962,1
1989,Sci-Fi,7.8,599689,1
1989,War,8.8,60669,1
1989,Western,8.7,28187,1
1990,Adventure,8.0,301622,1
1990,Biography,8.45,1356801,2
1990,Comedy,8.3,343512,5
1990,Crime,8.533333333333333,1589254,3
1990,Documentary,8.6,41056,2
1990,Drama,8.3125,2494685,8
1990,Family,8.6,143274,1
1990,Fantasy,8.0,564733,2
1990,History,9.0,21519,1
1990,Horror,8.2,17030,1
1990,Music,8.2,13679,1
1990,Mystery,8.7,232453,1
1990,Romance,7.8,547703,1
1990,War,9.0,21519,1
1990,Western,8.0,301622,1
1991,Action,8.466666666666667,1271411,3
1991,Adventure,8.45,1256958,2
1991,Animation,8.15,514160,2
1991,Comedy,8.3,14829,1
1991,Crime,8.433333333333332,1670988,3
1991,Documentary,8.1,24525,1
1991,Drama,8.28,1884523,5
1991,Family,8.0,494187,1
1991,Fantasy,8.0,494187,1
1991,History,8.0,176794,1
1991,Horror,8.6,1642441,1
1991,Romance,8.149999999999999,50835,2
1991,Sci-Fi,8.6,1236985,1
1991,Thriller,8.0,176794,1
1992,Action,8.633333333333333,197513,3
1992,Adventure,8.475,685183,4
1992,Animation,8.475,685183,4
1992,Comedy,8.175,546067,4
1992,Crime,8.3,1135557,1
1992,Documentary,8.5,42214,1
1992,Drama,8.16,858903,5
1992,Family,8.4,10371,1
1992,Romance,8.1,39886,2
1992,Thriller,8.2,1149854,2
1992,Western,8.2,455909,1
1993,Action,8.45,1250478,4
1993,Adventure,8.48,1513528,5
1993,Animation,8.5,412509,2
1993,Biography,8.333333333333334,1762802,3
1993,Comedy,8.35,911073,6
1993,Crime,8.183333333333334,1006240,6
1993,Drama,8.284615384615385,3460023,13
1993,Family,8.0,444432,2
1993,Fantasy,8.266666666666667,1125838,3
1993,History,9.0,1529796,1
1993,Horror,8.7,13622,1
1993,Music,8.149999999999999,54751,2
1993,Mystery,8.7,29754,2
1993,Romance,8.0,288397,2
1993,Sci-Fi,8.2,1123519,1
1993,Talk-Show,8.2,19449,1
1993,Thriller,7.9,240957,1
1994,Action,8.225,1420703,4
1994,Adventure,8.299999999999999,1264996,3
1994,Animation,8.299999999999999,1264996,3
1994,Biography,8.0,22377,1
1994,Comedy,8.2,1391169,7
1994,Crime,8.275,3793044,4
1994,Documentary,8.15,51296,2
1994,Drama,8.4,10667999,13
1994,Fantasy,8.2,21054,1
1994,Mystery,8.1,114075,1
1994,Romance,8.440000000000001,3729564,5
1994,Sport,8.3,28919,1
1994,War,8.3,21519,1
1995,Action,8.3,1108940,5
1995,Adventure,8.4,1197215,2
1995,Animation,8.3,1461606,4
1995,Biography,8.3,1132267,1
1995,Comedy,8.233333333333333,1625348,6
1995,Crime,8.27142857142857,4860195,7
1995,Drama,8.264285714285714,6554008,14
1995,Fantasy,8.0,62934,1
1995,Mystery,8.366666666666667,3777776,3
1995,Romance,8.15,584306,6
1995,Sci-Fi,8.0,665329,1
1995,Thriller,8.0,665329,1
1995,War,8.3,1132267,1
1996,Action,8.4,235500,5
1996,Adventure,8.466666666666667,203285,3
1996,Animation,8.475,219961,4
1996,Comedy,8.266666666666667,115437,3
1996,Crime,8.133333333333333,851851,3
1996,Documentary,8.0,50788,3
1996,Drama,8.142857142857142,1770300,7
1996,History,8.6,18479,1
1996,Musical,8.1,15539,1
1996,News,8.3,48920,1
1996,Sport,7.9,19920,1
1996,Talk-Show,8.3,48920,1
1996,Thriller,8.1,758899,1
1996,War,8.6,18479,1
1997,Action,8.257142857142856,460938,7
1997,Adventure,8.35,833691,6
1997,Animation,8.2875,1192343,8
1997,Comedy,8.52,1268772,5
1997,Crime,8.299999999999999,864460,3
1997,Documentary,7.9,34654,1
1997,Drama,8.192857142857143,4922648,14
1997,Family,8.2,86289,1
1997,Fantasy,8.3,462353,1
1997,History,7.9,18488,1
1997,Mystery,8.2,643036,1
1997,Romance,8.266666666666667,3267214,3
1997,Sport,8.2,86289,1
1997,Thriller,8.7,112594,1
1998,Action,8.45,212151,4
1998,Adventure,8.55,180334,2
1998,Animation,8.366666666666667,200174,3
1998,Comedy,8.1375,3160782,8
1998,Crime,8.114285714285714,2868440,7
1998,Drama,8.142857142857142,4637129,14
1998,Game-Show,8.5,48094,1
1998,History,8.5,14115,1
1998,Horror,8.0,19840,1
1998,Music,8.0,71637,1
1998,Romance,8.033333333333333,324300,3
1998,War,8.6,1575386,1
1999,Action,8.35,2866519,10
1999,Adventure,8.377777777777778,1621403,9
1999,Animation,8.341666666666667,2101831,12
1999,Biography,8.0,104533,1
1999,Comedy,8.34,1727974,10
1999,Crime,8.4,4688380,7
1999,Drama,8.358823529411765,7824021,17
1999,Family,8.149999999999999,138286,2
