id,title,genres,averageRating,numVotes,releaseYear
tt0193676,Freaks and Geeks,"Comedy, Drama",8.8,160165,1999
tt0264235,Curb Your Enthusiasm,Comedy,8.8,157726,2000
tt7137906,When They See Us,"Biography, Crime, Drama",8.8,148684,2019
tt14650074,Dhindora,"Comedy, Drama",8.8,123945,2021
tt0072500,Fawlty Towers,Comedy,8.8,105383,1975
tt10233448,Vinland Saga,"Action, Adventure, Animation",8.8,102285,2019
tt3530232,Last Week Tonight with John Oliver,"Comedy, News, Talk-Show",8.8,100184,2014
tt0112130,Pride and Prejudice,"Drama, Romance",8.8,98519,1995
tt0121220,Dragon Ball Z,"Action, Adventure, Animation",8.8,96682,1989
tt1910272,Steins;Gate,"Animation, Comedy, Drama",8.8,83367,2011
tt0063929,Monty Python's Flying Circus,Comedy,8.8,82698,1969
tt0353049,Chappelle's Show,"Comedy, Music",8.8,76288,2003
tt0096548,Blackadder Goes Forth,"Comedy, War",8.8,60669,1989
tt0081834,Das Boot,"Drama, War",8.8,36275,1985
tt1795096,Behzat Ç: An Ankara Detective Story,"Crime, Drama, Mystery",8.8,34947,2010
tt7927936,Flames,"Comedy, Drama, Romance",8.8,33450,2018
tt22727518,Another Love,"Drama, Romance",8.8,23756,2023
tt0074006,"I, Claudius","Biography, Drama, History",8.8,21021,1976
tt13868972,Rocket Boys,"Drama, History",8.8,19459,2022
tt0481256,Fighting Spirit,"Action, Animation, Comedy",8.8,14138,2000
tt6108262,Black Sun,"Crime, Drama, Thriller",8.8,13339,2017
tt13661118,Not Me,"Action, Crime, Romance",8.8,12707,2021
tt11992526,Harga,Drama,8.8,10045,2021
tt2442560,Peaky Blinders,"Crime, Drama",8.7,715111,2013
tt2085059,Black Mirror,"Crime, Drama, Mystery",8.7,697552,2011
tt0412142,House,"Drama, Mystery",8.7,561410,2004
tt2707408,Narcos,"Biography, Crime, Drama",8.7,502829,2015
tt5753856,Dark,"Crime, Drama, Mystery",8.7,494240,2017
tt0121955,South Park,"Animation, Comedy",8.7,423676,1997
tt11280740,Severance,"Drama, Mystery, Sci-Fi",8.7,322566,2022
tt6741278,Invincible,"Action, Adventure, Animation",8.7,277604,2021
tt0804503,Mad Men,Drama,8.7,276133,2007
tt1606375,Downton Abbey,"Drama, Romance",8.7,235325,2010
tt0098936,Twin Peaks,"Crime, Drama, Mystery",8.7,232453,1990
tt5687612,Fleabag,"Comedy, Drama",8.7,228274,2016
tt4508902,One Punch Man,"Action, Animation, Comedy",8.7,202920,2015
tt0988824,Naruto: Shippuden,"Action, Adventure, Animation",8.7,199352,2007
tt0384766,Rome,"Action, Drama, Romance",8.7,195627,2005
tt0407362,Battlestar Galactica,"Action, Adventure, Drama",8.7,182548,2004
tt5555260,This Is Us,"Comedy, Drama, Romance",8.7,168425,2016
tt0248654,Six Feet Under,"Comedy, Drama",8.7,159387,2001
tt5788792,The Marvelous Mrs. Maisel,"Comedy, Drama",8.7,151484,2017
tt13991232,1883,"Drama, Western",8.7,144309,2021
tt0092455,Star Trek: The Next Generation,"Action, Adventure, Drama",8.7,144173,1987
tt1628033,Top Gear,"Adventure, Comedy, Sport",8.7,132796,2002
tt0118421,Oz,"Crime, Drama, Thriller",8.7,112594,1997
tt9544034,The Family Man,"Action, Comedy, Drama",8.7,104280,2019
tt0286486,The Shield,"Crime, Drama, Thriller",8.7,93333,2002
tt13309742,Blue Eye Samurai,"Action, Adventure, Animation",8.7,92140,2023
tt0994314,Code Geass,"Action, Animation, Drama",8.7,91778,2006
tt5712554,The Grand Tour,"Comedy, Sport, Talk-Show",8.7,91087,2016
tt3718778,Over the Garden Wall,"Adventure, Animation, Comedy",8.7,80742,2014
tt0758745,Friday Night Lights,"Drama, Sport",8.7,76247,2006
tt2303687,Line of Duty,"Crime, Drama, Mystery",8.7,76070,2012
tt0387764,Peep Show,Comedy,8.7,70789,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,66741,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,57730,2004
tt10850932,Crash Landing on You,"Adventure, Comedy, Drama",8.7,51457,2019
tt16026746,X-Men '97,"Action, Adventure, Animation",8.7,45554,2024
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,45399,2014
tt7472896,Mr Inbetween,"Comedy, Crime, Drama",8.7,40921,2018
tt0096639,Lonesome Dove,"Adventure, Drama, Western",8.7,28187,1989
tt0459159,The Thick of It,Comedy,8.7,28115,2005
tt0086661,The Adventures of Sherlock Holmes,"Crime, Drama, Mystery",8.7,26119,1984
tt20859920,Alchemy of Souls,"Action, Drama, Fantasy",8.7,23514,2022
tt6025022,Justice League Unlimited,"Action, Adventure, Animation",8.7,23373,2004
tt0988818,Gintama,"Action, Animation, Comedy",8.7,18449,2005
tt15295490,Campus Diaries,"Comedy, Drama, Romance",8.7,17708,2022
tt4063800,The Bureau,"Drama, Thriller",8.7,17141,2015
tt0106028,Homicide: Life on the Street,"Crime, Drama, Mystery",8.7,16132,1993
tt10801534,How to with John Wilson,"Comedy, Documentary",8.7,15704,2020
tt0229889,El Chavo del Ocho,"Comedy, Family",8.7,15155,1972
tt9566030,Pew News,"Comedy, News",8.7,14737,2018
tt0090509,The Return of Sherlock Holmes,"Crime, Drama, Mystery",8.7,14644,1986
tt10554898,The Untamed,"Action, Adventure, Drama",8.7,14379,2019
tt6111552,Content Cop,"Comedy, Crime, Talk-Show",8.7,12608,2015
tt7094780,Mr. Sunshine,"Action, Drama, History",8.7,12448,2018
tt4269716,Umbre,"Crime, Drama, Thriller",8.7,12318,2014
tt0075537,Mind Your Language,Comedy,8.7,10264,1977
tt0062588,Mister Rogers' Neighborhood,"Family, Fantasy, Music",8.7,10054,1968
tt4574334,Stranger Things,"Drama, Fantasy, Horror",8.6,1452051,2016
tt0773262,Dexter,"Crime, Drama, Mystery",8.6,848324,2006
tt1190634,The Boys,"Action, Comedy, Crime",8.6,781417,2019
tt3581920,The Last of Us,"Action, Adventure, Drama",8.6,671992,2023
tt8111088,The Mandalorian,"Action, Adventure, Fantasy",8.6,627813,2019
tt1856010,House of Cards,Drama,8.6,547692,2013
tt3322312,Daredevil,"Action, Crime, Drama",8.6,507457,2015
tt0096697,The Simpsons,"Animation, Comedy",8.6,454533,1989
tt5290382,Mindhunter,"Crime, Drama, Mystery",8.6,369114,2017
tt0367279,Arrested Development,Comedy,8.6,335332,2003
tt1266020,Parks and Recreation,Comedy,8.6,303657,2009
tt4236770,Yellowstone,"Drama, Western",8.6,277761,2018
tt4786824,The Crown,"Biography, Drama, History",8.6,270876,2016
tt0106179,The X-Files,"Adventure, Crime, Drama",8.6,263050,1993
tt2788316,Shōgun,"Action, Adventure, Drama",8.6,218924,2024
tt0979432,Boardwalk Empire,"Crime, Drama",8.6,211667,2010
tt15435876,The Penguin,"Crime, Drama",8.6,197756,2024
tt9335498,Demon Slayer: Kimetsu no Yaiba,"Action, Adventure, Animation",8.6,189264,2019
tt1486217,Archer,"Action, Animation, Comedy",8.6,171859,2009
tt0096657,Mr. Bean,"Comedy, Family",8.6,143274,1990
tt1870479,The Newsroom,Drama,8.6,130621,2012
tt1489428,Justified,"Action, Crime, Drama",8.6,125639,2010
tt1305826,Adventure Time,"Action, Adventure, Animation",8.6,124010,2010
tt0348914,Deadwood,"Crime, Drama, History",8.6,123973,2004
tt7908628,What We Do in the Shadows,"Comedy, Fantasy, Horror",8.6,119468,2019
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,94567,2016
tt9174558,Dopesick,Drama,8.6,86777,2021
tt1733785,The Bridge,"Crime, Mystery, Thriller",8.6,81214,2011
tt21209876,Solo Leveling,"Action, Adventure, Animation",8.6,79076,2024
tt5421602,Anne with an E,"Drama, Family",8.6,74385,2017
tt1710308,Regular Show,"Action, Adventure, Animation",8.6,67234,2010
tt4299972,The Jinx: The Life and Deaths of Robert Durst,"Biography, Crime, Documentary",8.6,56417,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,55962,1989
tt0088484,Blackadder II,Comedy,8.6,52333,1986
tt0092324,Blackadder the Third,Comedy,8.6,49303,1987
tt1641384,Young Justice,"Action, Adventure, Animation",8.6,48759,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,47632,2014
tt13111040,The Offer,"Biography, Crime, Drama",8.6,46362,2022
tt0111958,Father Ted,Comedy,8.6,46298,1995
tt12451520,It's Okay to Not Be Okay,"Comedy, Drama, Romance",8.6,41246,2020
tt5288312,Skam,"Drama, Romance",8.6,41109,2015
tt1534360,Ezel,"Crime, Drama, Thriller",8.6,40946,2009
tt9140342,It's a Sin,Drama,8.6,39371,2021
tt11854694,Special OPS,"Action, Crime, Thriller",8.6,39114,2020
tt0053488,The Bugs Bunny Show,"Animation, Comedy",8.6,37029,1960
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,36169,2012
tt7562112,Pose,Drama,8.6,35182,2018
tt0380136,QI,"Comedy, Game-Show",8.6,34966,2003
tt1983079,Call the Midwife,"Drama, History",8.6,33748,2012
tt20869502,Extraordinary Attorney Woo,Drama,8.6,33640,2022
tt5994364,Guardian: The Lonely and Great God,"Comedy, Drama, Fantasy",8.6,33510,2016
tt4647692,Letterkenny,Comedy,8.6,32551,2016
tt21056886,Scavengers Reign,"Adventure, Animation, Drama",8.6,30477,2023
tt0417373,The Venture Bros.,"Action, Adventure, Animation",8.6,29564,2003
tt0094517,Mystery Science Theater 3000,"Comedy, Sci-Fi",8.6,27097,1988
tt4156586,Permanent Roommates,"Comedy, Romance",8.6,26715,2014
tt2433738,Wentworth,"Crime, Drama, Thriller",8.6,26239,2013
tt10332508,Primal,"Action, Adventure, Animation",8.6,25035,2019
tt4082744,Detectorists,Comedy,8.6,24083,2014
tt0129690,I'm Alan Partridge,Comedy,8.6,23160,1997
tt8050756,The Owl House,"Action, Adventure, Animation",8.6,22961,2020
tt0421291,Avrupa Yakasi,Comedy,8.6,22949,2004
tt28857177,Lucky Guy,"Comedy, Drama, Fantasy",8.6,22202,2023
tt2311418,Isler Güçler,Comedy,8.6,21766,2012
tt7278862,My Brilliant Friend,Drama,8.6,21727,2018
tt10590066,All Creatures Great & Small,"Comedy, Drama",8.6,20161,2020
tt9814458,Bandish Bandits,"Drama, Music, Romance",8.6,19908,2020
tt0310455,Foyle's War,"Crime, Drama, Mystery",8.6,19782,2002
tt1513168,Through the Wormhole,Documentary,8.6,19158,2010
tt17513352,Twenty Five Twenty One,"Drama, Romance",8.6,18262,2022
tt0080306,Yes Minister,Comedy,8.6,18093,1980
tt3671754,Kardes Payi,Comedy,8.6,18046,2014
tt0203082,Rurouni Kenshin: Reminiscence,"Action, Adventure, Animation",8.6,17410,1999
tt0403778,Long Way Round,"Adventure, Documentary",8.6,16465,2004
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,15279,2018
